Duration ,DescrTask,Cond,Agreement,PWEW,WRITER,DEW,FirstClick,LastClick,CompTime,Description,FK Ease,FK Grade,Coleman Liau,#Sentences,#Words,#Complex Words,%Complex Words,Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Q34,Q74_First Click,Q74_Last Click,Q74_Page Submit,Q74_Click Count,Q73,Q13,Q14,Q15,Q16,Q51,Q52,Q17_5,Q17_6,Q17_7,Q18_1,Q18_2,Q18_3,Q19,Q28,Q20,Q20_8_TEXT,Q21,Q21_8_TEXT,Q76,mturkcode
666,self,PWEW,TRUE,Yes,,,3.621,485.817,523.434,"I am a sarcastic petite woman. I love photography and am happy to say that it is one of my sources of income. I love black and white movies and recently watched ""The Lady Vanishes"" for the first time. I also love indie movies and one of my favorite directors in Wes Anderson. His visual aesthetic of bright pastels suits the usually ridiculous plot line and the eccentric characters. I am a singer, alone in my house only, but I do have a contralto vocal range. In my spare time, I test recipes for a cooking blog that I want to start. I am interested to see if it is possible to make vegan cream cheese that is not just cashew cream mixed with coconut yogurt. I find it annoying that that is the only option people can come up with, it lacks creativity and imagination.",65.8,8.1,8.8,9,146,20,13.7,,,,,,3.621,485.817,523.434,112,"I am a sarcastic petite woman. I love photography and am happy to say that it is one of my sources of income. I love black and white movies and recently watched ""The Lady Vanishes"" for the first time. I also love indie movies and one of my favorite directors in Wes Anderson. His visual aesthetic of bright pastels suits the usually ridiculous plot line and the eccentric characters. I am a singer, alone in my house only, but I do have a contralto vocal range. In my spare time, I test recipes for a cooking blog that I want to start. I am interested to see if it is possible to make vegan cream cheese that is not just cashew cream mixed with coconut yogurt. I find it annoying that that is the only option people can come up with, it lacks creativity and imagination.",Female,25,White,"Associateâ€™s degree (e.g. AA, AS)",Yes,,Never,Never,Occasionally,0 hours,0 hours,1 - 3 hours,Smart phone,Fiction books,Fiction books,,Fiction books,,to test writing ability and aptitude ,65408
394,picture,PWEW,TRUE,Yes,,,0.767,286.615,287.517,The description of this image is a a person walking across the street. This person may be a man or a woman to me it seems like an older woman. She's wearing a coat and seems to be dressed for the winter. It seems to be about at about sunrise or sunset. There are no cars in the road and there are only parked cars. There are building on either side of the person crossing the street and she is the only person outside. The roads seem to be very clean and it seems to be in an urban area. the building arent stores but seem to look like apartment buildings. There may be a couple of tiny store located within the apartment buildings.,81.6,5.3,7.9,9,124,4,3.23,0.767,286.615,287.517,24,The description of this image is a a person walking across the street. This person may be a man or a woman to me it seems like an older woman. She's wearing a coat and seems to be dressed for the winter. It seems to be about at about sunrise or sunset. There are no cars in the road and there are only parked cars. There are building on either side of the person crossing the street and she is the only person outside. The roads seem to be very clean and it seems to be in an urban area. the building arent stores but seem to look like apartment buildings. There may be a couple of tiny store located within the apartment buildings.,,,,,,Female,23,White,High school degree or equivalent (e.g. GED),Yes,,Rarely,Never,Occasionally,0 hours,4 - 6 hours,1 - 3 hours,Laptop or computer,Social media posts,Social media posts,,Social media posts,,I think the purpose was to see how my writing skills were about the picture.,14525
467,self,PWEW,TRUE,Yes,,,2.362,2.362,255.596,"I have never really been interested in hobbies or collecting things as much of my life has been consumed with raising my five sons and putting each through college. Now that they are adults, I really enjoy traveling to visit them and spending time with them and their families. I have also never really enjoyed cooking although I did do it professionally for a while to help support the family. Making dinner for seven every single night made cooking seem more like a chore than anything enjoyable. I have learned to streamline the process to feed myself and my husband so I spend as little time at it as possible. I consider myself a very outgoing and friendly person who cares about all of humanity. I am always ready to help friends or family with whatever they need and it makes me feel good to be of service. If I have a passion beyond my family and friends, that would be horror movies. I love them. ",67.8,8.4,10.1,9,166,16,9.64,,,,,,2.362,2.362,255.596,1,"I have never really been interested in hobbies or collecting things as much of my life has been consumed with raising my five sons and putting each through college. Now that they are adults, I really enjoy traveling to visit them and spending time with them and their families. I have also never really enjoyed cooking although I did do it professionally for a while to help support the family. Making dinner for seven every single night made cooking seem more like a chore than anything enjoyable. I have learned to streamline the process to feed myself and my husband so I spend as little time at it as possible. I consider myself a very outgoing and friendly person who cares about all of humanity. I am always ready to help friends or family with whatever they need and it makes me feel good to be of service. If I have a passion beyond my family and friends, that would be horror movies. I love them. ",Female,59,White,"Masterâ€™s degree (e.g. MA,MS, MEd)",Yes,,Never,Frequently,Frequently,0 hours,1 - 3 hours,1 - 3 hours,Laptop or computer,Blogs,Blogs,,Fiction books,,To see how people with various interests feel about different topics.,2238
501,self,DEW,FALSE,,,No,6.66,257.884,317.249,"I am a very loving, family devoted person.  I am giving and trustworthy.  I can be a bit contrary and a bit snappy at times but I usually very kind.  I am very caring and like to help others when they need me.  I try to always put other people's needs before mine.  I am not selfish and I share anything I can.  I am not always patient but I do try.  I usually have the time to listen to anyone's problems and I try to console anyone when they are upset. I love to read and I am organized and want everything in an orderly state.  I try to always honor my promises and to always do what I say I will do.  I like to rush and I push myself to be accurate.",77.2,5.5,5.8,11,135,11,8.15,,,,,,6.66,257.884,317.249,5,"I am a very loving, family devoted person.  I am giving and trustworthy.  I can be a bit contrary and a bit snappy at times but I usually very kind.  I am very caring and like to help others when they need me.  I try to always put other people's needs before mine.  I am not selfish and I share anything I can.  I am not always patient but I do try.  I usually have the time to listen to anyone's problems and I try to console anyone when they are upset. I love to read and I am organized and want everything in an orderly state.  I try to always honor my promises and to always do what I say I will do.  I like to rush and I push myself to be accurate.",Female,59,White,High school degree or equivalent (e.g. GED),Yes,,Rarely,Occasionally,Rarely,1 - 3 hours,1 - 3 hours,1 - 3 hours,"Laptop or computer,Books",Social media posts,Social media posts,,Social media posts,,to judge what people like to write,63697
466,self,WRITER,TRUE,,Yes,,33.265,223.089,263.576,"I have a very fun loving personality. I love to laugh and tell jokes. I'm also very active. I run and exercise regularly. Refueling after a good workout is important so I'm also an avid cook. In between my exercises and cooking I also grow my own vegetables and enjoy sitting down with a good book. I also really enjoy movies and I have a small handful of television shows that I watch regularly. I have been playing the piano for about 8 years now. You won't be seeing me on a stage performing any time soon, but I can carry a tune and jam a little. I also like to draw and the walls of my home are filled with some of my own works.",73.9,6.1,7.2,10,126,11,8.73,,,,,,33.265,223.089,263.576,3,"I have a very fun loving personality. I love to laugh and tell jokes. I'm also very active. I run and exercise regularly. Refueling after a good workout is important so I'm also an avid cook. In between my exercises and cooking I also grow my own vegetables and enjoy sitting down with a good book. I also really enjoy movies and I have a small handful of television shows that I watch regularly. I have been playing the piano for about 8 years now. You won't be seeing me on a stage performing any time soon, but I can carry a tune and jam a little. I also like to draw and the walls of my home are filled with some of my own works.",Male,41,Hispanic / Latino,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Never,Frequently,Occasionally,0 hours,4 - 6 hours,1 - 3 hours,"Laptop or computer,Magazines,Books","Blogs,Fiction books,Textbooks",Blogs,,Fiction books,,I don't know.,42241
730,picture,DEW,FALSE,,,No,1.037,456.825,457.021,this is a picture of a person in a city. wonder if it was staged. i dont know if its europe or the usa. reminds me of the architecthure from the movie inception. its very not colorful. its lacking in saturation. its artsy i guess. i dont really have much more to say herethis is a picture of a person in a city. wonder if it was staged. i dont know if its europe or the usa. reminds me of the architecthure from the movie inception. its very not colorful. its lacking in saturation. its artsy i guess. i dont really have much more to say herethis is a picture of a person in a city. wonder if it was staged. i dont know if its europe or the usa. reminds me of the architecthure from the movie inception. its very not colorful. its lacking in saturation. its artsy i guess. i dont really have much more to say herethis is a picture of a person in a city. wonder if it was staged. i dont know if its europe or the usa. reminds me of the architecthure from the movie inception. its very not colorful. its lacking in saturation. its artsy i guess. i dont really have much more to say herethis is a picture of a person in a city. wonder if it was staged. i dont know if its europe or the usa. reminds me of the architecthure from the movie inception. its very not colorful. its lacking in saturation. its artsy i guess. i dont really have much more to say here,78.8,4.1,7.5,36,266,24,9.02,1.037,456.825,457.021,4,this is a picture of a person in a city. wonder if it was staged. i dont know if its europe or the usa. reminds me of the architecthure from the movie inception. its very not colorful. its lacking in saturation. its artsy i guess. i dont really have much more to say herethis is a picture of a person in a city. wonder if it was staged. i dont know if its europe or the usa. reminds me of the architecthure from the movie inception. its very not colorful. its lacking in saturation. its artsy i guess. i dont really have much more to say herethis is a picture of a person in a city. wonder if it was staged. i dont know if its europe or the usa. reminds me of the architecthure from the movie inception. its very not colorful. its lacking in saturation. its artsy i guess. i dont really have much more to say herethis is a picture of a person in a city. wonder if it was staged. i dont know if its europe or the usa. reminds me of the architecthure from the movie inception. its very not colorful. its lacking in saturation. its artsy i guess. i dont really have much more to say herethis is a picture of a person in a city. wonder if it was staged. i dont know if its europe or the usa. reminds me of the architecthure from the movie inception. its very not colorful. its lacking in saturation. its artsy i guess. i dont really have much more to say here,,,,,,Prefer not to say,28,Prefer not to identify,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Never,Never,Rarely,0 hours,0 hours,0 hours,Books,Other (please specify),Other (please specify),journaling,Other (please specify),diary personal entries,no idea,31028
458,self,WRITER,FALSE,,No,,172.569,172.889,285.654,"Overall, I'm an automotive person. I love working on cars. I like working on BMWs and working on Chevys. I like going to car shows and just having a good time hanging around car people. It is one of my biggest passions in life. There is nothing like driving down the road in a nice modified car. I like going to the track too and driving fast. I could talk about cars forever. I always find that people that like cars are really nice people. I could not have asked to fall into a better hobby and get to do such fun things. I like to buy cars, fix them and sell them. I quite often make money doing so.
",89,3.2,6.9,13,121,3,2.48,,,,,,172.569,172.889,285.654,3,"Overall, I'm an automotive person. I love working on cars. I like working on BMWs and working on Chevys. I like going to car shows and just having a good time hanging around car people. It is one of my biggest passions in life. There is nothing like driving down the road in a nice modified car. I like going to the track too and driving fast. I could talk about cars forever. I always find that people that like cars are really nice people. I could not have asked to fall into a better hobby and get to do such fun things. I like to buy cars, fix them and sell them. I quite often make money doing so.
",Male,24,White,"Associateâ€™s degree (e.g. AA, AS)",Yes,,Frequently,Occasionally,Occasionally,4 - 6 hours,4 - 6 hours,1 - 3 hours,"Smart phone,Laptop or computer","Social media posts,Blogs,Magazines,Fiction books",Social media posts,,Social media posts,,Views,48772
332,self,DEW,FALSE,,,No,5.017,159.583,233.401,"I am organize, but something I can be scatter brain and feel overwhelm. I can be moody, especially around my husband - because he let me get away with many things. I need to work on that. I am very active and motivated. I enjoy exercise - often do it 5-6 times a week. I begin to enjoy the outdoors because of my husband. Some times when I am stuck in a bad mood he always encourage me to go outside and I often feel instantly better. 
I think I need to challenge myself more. I feel like I am content but I want to have more motivation in achieving more - let it be with my work, my fitness, or life in general. I often feel better when I am accomplished. Getting too comfortable in life sometimes makes me lazy. ",74.7,5.7,7.4,12,140,13,9.29,,,,,,5.017,159.583,233.401,10,"I am organize, but something I can be scatter brain and feel overwhelm. I can be moody, especially around my husband - because he let me get away with many things. I need to work on that. I am very active and motivated. I enjoy exercise - often do it 5-6 times a week. I begin to enjoy the outdoors because of my husband. Some times when I am stuck in a bad mood he always encourage me to go outside and I often feel instantly better. 
I think I need to challenge myself more. I feel like I am content but I want to have more motivation in achieving more - let it be with my work, my fitness, or life in general. I often feel better when I am accomplished. Getting too comfortable in life sometimes makes me lazy. ",Female,33,Asian,"Masterâ€™s degree (e.g. MA,MS, MEd)",Yes,,Never,Frequently,Rarely,0 hours,4 - 6 hours,1 - 3 hours,"Smart phone,Laptop or computer,Books","Social media posts,Blogs",Blogs,,Blogs,,writing habits ,27204
459,self,WRITER,TRUE,,Yes,,1.672,267.913,271.892,"I am a christian writer, I am finishing a book right now and I want to publish it and I also have over 140 teachings, poems, etc on Facebook as well that are all public to learn about cults and other subjects like judging and the feasts of Jesus Christ and I am very outgoing, I have been an evangelist for 25 years, licence and ordained in Deliverance for 10 years now, I mainly am a marketplace evangelist and have been helping the homeless for years and am also printing a gospel tract that I need to print right now and have several smaller books that I also want to write and create other things as well that could be sold at a christian bookstore.  I like to read and travel and go to movies and also love to horseback ride and go zip-lining and want to go river rafting and parachuting one day as well. ",12.9,31,8.1,2,157,9,5.73,,,,,,1.672,267.913,271.892,4,"I am a christian writer, I am finishing a book right now and I want to publish it and I also have over 140 teachings, poems, etc on Facebook as well that are all public to learn about cults and other subjects like judging and the feasts of Jesus Christ and I am very outgoing, I have been an evangelist for 25 years, licence and ordained in Deliverance for 10 years now, I mainly am a marketplace evangelist and have been helping the homeless for years and am also printing a gospel tract that I need to print right now and have several smaller books that I also want to write and create other things as well that could be sold at a christian bookstore.  I like to read and travel and go to movies and also love to horseback ride and go zip-lining and want to go river rafting and parachuting one day as well. ",Female,58,White,"Associateâ€™s degree (e.g. AA, AS)",Yes,,Never,Never,Very frequently,0 hours,0 hours,7 or more hours,Laptop or computer,"Social media posts,Non-fiction books",Social media posts,,Other (please specify),christian books ,don't know,84688
642,picture,WRITER,FALSE,,No,,3.14,390.356,463.108,"This seems like a very gloomy and eerie image. There is a woman standing in the middle of a silent street with no other people around. The only other things around her are a few cars parked in the street. There are residential style buildings around her so it seems like she is in a large city. There are a few balconies on some of the apartments on the right side with some plants hanging over the edge of the balconies. On the left side it looks like there is a dentist's office on the first floor of building. The architecture style of the buildings looks like they could be either a Parisian or Italian style, so this city may either be in France or Italy. 
",76.8,6.5,8.6,8,127,8,6.3,3.14,390.356,463.108,10,"This seems like a very gloomy and eerie image. There is a woman standing in the middle of a silent street with no other people around. The only other things around her are a few cars parked in the street. There are residential style buildings around her so it seems like she is in a large city. There are a few balconies on some of the apartments on the right side with some plants hanging over the edge of the balconies. On the left side it looks like there is a dentist's office on the first floor of building. The architecture style of the buildings looks like they could be either a Parisian or Italian style, so this city may either be in France or Italy. 
",,,,,,Female,22,White,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Frequently,Never,Never,1 - 3 hours,0 hours,0 hours,Laptop or computer,Other (please specify),Other (please specify),Research papers,Social media posts,,How well peoples writing abilities are.,9831
909,picture,WRITER,FALSE,,No,,8.061,690.004,691.269,"The woman shuffles down the street. Her day has ended and for the most part, the city agrees with her, There is an air of finality around her. People have left the streets to go home to families, to do a few final things before ending the day. To go to sleep in anticipation of another day. The woman also feels the pull toward her own abode. And so she moves onward. She likes the quiet of evening. it helps her mind to relax and unwind. Tomorrow will be another day. But for now, peace fills her soul. She will prepare for sleep, then, in the morning it will all begin again. Thus it is, or thus it appears to be.",84.7,3.9,7.3,12,121,7,5.79,8.061,690.004,691.269,18,"The woman shuffles down the street. Her day has ended and for the most part, the city agrees with her, There is an air of finality around her. People have left the streets to go home to families, to do a few final things before ending the day. To go to sleep in anticipation of another day. The woman also feels the pull toward her own abode. And so she moves onward. She likes the quiet of evening. it helps her mind to relax and unwind. Tomorrow will be another day. But for now, peace fills her soul. She will prepare for sleep, then, in the morning it will all begin again. Thus it is, or thus it appears to be.",,,,,,Male,51,White,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Rarely,Occasionally,Occasionally,0 hours,1 - 3 hours,1 - 3 hours,Laptop or computer,"Social media posts,Other (please specify)",Other (please specify),Ideas,Other (please specify),Thoughts and ideas,Get a sample of someones writting.,26489
313,picture,WRITER,FALSE,,No,,7.344,165.317,201.261,"It is a morning in the city. The sun is just starting to rise and the light is shining through. It is very quite. The hustle and bustle of the city day has not yet begun. You can walk down the side walk and cross the street without being ambushed by men and women with briefcase or taxes rushing from one place to another. Cars are parked in front of residences and those in side are just getting ready to start the day. Breakfast is on the table, children are changing, and mom and dad are taking in the calm before the chaos. It is just another morning in the city. Soon the streets will be full of cars and pedestrians. Crossing guards will be at the cross walks. Sirens will be heard in the distance. Things will be much different from the morning tranquility.",85.5,4.3,8.8,12,145,6,4.14,7.344,165.317,201.261,6,"It is a morning in the city. The sun is just starting to rise and the light is shining through. It is very quite. The hustle and bustle of the city day has not yet begun. You can walk down the side walk and cross the street without being ambushed by men and women with briefcase or taxes rushing from one place to another. Cars are parked in front of residences and those in side are just getting ready to start the day. Breakfast is on the table, children are changing, and mom and dad are taking in the calm before the chaos. It is just another morning in the city. Soon the streets will be full of cars and pedestrians. Crossing guards will be at the cross walks. Sirens will be heard in the distance. Things will be much different from the morning tranquility.",,,,,,Female,24,White,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Rarely,Occasionally,Never,0 hours,1 - 3 hours,0 hours,Laptop or computer,Other (please specify),Other (please specify),manuscripts,Blogs,,how we write,15476
318,picture,PWEW,TRUE,Yes,,,1.592,197.386,210.414,"Sepia smog obscures the city.  A middle-aged woman, her sensible shoes causing her pain already as she walks to work pauses in the middle of a crosswalk.  There is no traffic yet this early in the morning.  It's been a nasty summer she thinks considering how hard it is to breathe in the filthy air of the city.  But, she has a job to get to and walking is the best way to get there.  She things of the buildings that line the street she is crossing and notes that they look just like where she lives.  A few stories of mixed use residential  commercial real estate.  The crosswalk could use repainting, but it's still visible, and the city has much higher priorities for its maintenance budget.",74.9,6.8,9.3,8,128,10,7.81,1.592,197.386,210.414,4,"Sepia smog obscures the city.  A middle-aged woman, her sensible shoes causing her pain already as she walks to work pauses in the middle of a crosswalk.  There is no traffic yet this early in the morning.  It's been a nasty summer she thinks considering how hard it is to breathe in the filthy air of the city.  But, she has a job to get to and walking is the best way to get there.  She things of the buildings that line the street she is crossing and notes that they look just like where she lives.  A few stories of mixed use residential  commercial real estate.  The crosswalk could use repainting, but it's still visible, and the city has much higher priorities for its maintenance budget.",,,,,,Male,36,White,"Masterâ€™s degree (e.g. MA,MS, MEd)",Yes,,Never,Very frequently,Occasionally,0 hours,4 - 6 hours,1 - 3 hours,Laptop or computer,"Fiction books,Other (please specify)",Other (please specify),Technical reports,Fiction books,,To pay me for my time.,17063
500,self,PWEW,FALSE,No,,,9.81,251.267,297.895,"I am someone in my mid-20's. I am interested in basketball, non-fiction pop psychology, and computers. I am a computer engineer who has graduate recently. I like animals a lot. I have a pet cat named Turk. He is a calico cat. I can type at about seventy words per minute. I am over five feet tall. I am interested in computers and engineering. I will get a job working on computers. I am very interested in the ongoing NBA finals. I have been watching every game on television and have even been to a couple in person. I enjoy spending time on youtube and taking online surveys such as this one. I enjoy spending time with family and friends. I especially love going to coffee shops with friends and talking about politics or the recent books we have read.",67.3,6.2,8.8,15,142,22,15.49,,,,,,9.81,251.267,297.895,11,"I am someone in my mid-20's. I am interested in basketball, non-fiction pop psychology, and computers. I am a computer engineer who has graduate recently. I like animals a lot. I have a pet cat named Turk. He is a calico cat. I can type at about seventy words per minute. I am over five feet tall. I am interested in computers and engineering. I will get a job working on computers. I am very interested in the ongoing NBA finals. I have been watching every game on television and have even been to a couple in person. I enjoy spending time on youtube and taking online surveys such as this one. I enjoy spending time with family and friends. I especially love going to coffee shops with friends and talking about politics or the recent books we have read.",Male,22,Asian,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Never,Never,Rarely,0 hours,0 hours,1 - 3 hours,Laptop or computer,Social media posts,Social media posts,,Social media posts,,To see what people like writing about.,96144
451,picture,DEW,FALSE,,,No,17.984,307.173,324.11,"A woman is bundled up in her coat and boots, walking across the crosswalk of the large street alone. It's just past daybreak, and the sun is breaking up the early morning fog, and casting shadows across the street. The woman is slowly making her way across the street, with something seemingly on her mind. She's lost in thought about what happened the previous day, and the things she needs to do today.There isn't a sound on the street except the sound of her boots against the pavement, and the faint sound of distant traffic. Business owners are inside, busy getting their shops to open for the day.",74.3,7.4,10.1,6,109,5,4.59,17.984,307.173,324.11,13,"A woman is bundled up in her coat and boots, walking across the crosswalk of the large street alone. It's just past daybreak, and the sun is breaking up the early morning fog, and casting shadows across the street. The woman is slowly making her way across the street, with something seemingly on her mind. She's lost in thought about what happened the previous day, and the things she needs to do today.There isn't a sound on the street except the sound of her boots against the pavement, and the faint sound of distant traffic. Business owners are inside, busy getting their shops to open for the day.",,,,,,Female,35,Other,High school degree or equivalent (e.g. GED),Yes,,Never,Occasionally,Rarely,0 hours,1 - 3 hours,0 hours,"Smart phone,Laptop or computer,Books",Other (please specify),Other (please specify),Personal notes/research notes,Other (please specify),Personal notes/research notes,I'm not sure,96988
452,picture,PWEW,TRUE,Yes,,,9.459,234.072,341.586,This image seems to be from some of the movies. I don't know the movie name but looks like an old new york city like early 1800's from the background. May it's a time square but not sure. The weird thing is I can see only a lady who is crossing the road and no one is around her even a pedestrian or any card. It seems like the time of curfew and road is all empty and it's still not even night time. The picture is little spooky and very weird due to above reason. It might be from one of the horror movie where everyone dies due to some epidemic and very few are left on planet earth. Thought the lady seems relaxed and she is not botherd by any of this and she walking very quietly and relaxed.,79.7,6.5,6.8,8,141,4,2.84,9.459,234.072,341.586,9,This image seems to be from some of the movies. I don't know the movie name but looks like an old new york city like early 1800's from the background. May it's a time square but not sure. The weird thing is I can see only a lady who is crossing the road and no one is around her even a pedestrian or any card. It seems like the time of curfew and road is all empty and it's still not even night time. The picture is little spooky and very weird due to above reason. It might be from one of the horror movie where everyone dies due to some epidemic and very few are left on planet earth. Thought the lady seems relaxed and she is not botherd by any of this and she walking very quietly and relaxed.,,,,,,Male,39,Asian,"Some college, no degree",No,Very proficient,Occasionally,Frequently,Very frequently,4 - 6 hours,1 - 3 hours,1 - 3 hours,Laptop or computer,"Social media posts,Blogs",Social media posts,,Blogs,,people interest in writing,5422
945,self,PWEW,TRUE,Yes,,,4.547,695.317,696.041,"I've always considered myself to be an introvert. For much of my life, I've found the greatest enjoyment in activities that allow me time to be with my thoughts, to solve problems uninterrupted, to create with only myself as the audience. Out of this, some of my greatest interests are in mathematics, history, reading, playing music, and running. Each of these things bring me great enjoyment. However, with age, life leads us to build more relationships, to interact with more people. I have noticed in my own life that my personality has changed in a way to be more inclusive and desirous of time interacting with others. Although I still think I am predominantly introverted, I notice I am becoming increasingly extroverted with time. This has expanded my interests to choose activities that, though similar, are inclusive of others. Group hiking instead of solo running, book clubs instead of reading just for myself, etc. But because I am still happy to dedicate time to personal study and creativity, I think that my talents are reflective of this: ability for critical thinking and mathematics, ability in playing piano, as a few examples.",50.1,11,12.7,10,191,36,18.85,,,,,,4.547,695.317,696.041,17,"I've always considered myself to be an introvert. For much of my life, I've found the greatest enjoyment in activities that allow me time to be with my thoughts, to solve problems uninterrupted, to create with only myself as the audience. Out of this, some of my greatest interests are in mathematics, history, reading, playing music, and running. Each of these things bring me great enjoyment. However, with age, life leads us to build more relationships, to interact with more people. I have noticed in my own life that my personality has changed in a way to be more inclusive and desirous of time interacting with others. Although I still think I am predominantly introverted, I notice I am becoming increasingly extroverted with time. This has expanded my interests to choose activities that, though similar, are inclusive of others. Group hiking instead of solo running, book clubs instead of reading just for myself, etc. But because I am still happy to dedicate time to personal study and creativity, I think that my talents are reflective of this: ability for critical thinking and mathematics, ability in playing piano, as a few examples.",Female,25,White,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Never,Frequently,Occasionally,0 hours,1 - 3 hours,1 - 3 hours,Laptop or computer,"Social media posts,Blogs,Other (please specify)",Blogs,,Blogs,,Prevalency of writers/authors by different demographics,81910
765,self,WRITER,TRUE,,Yes,,6.462,517.876,547.05,"I survive. Every once in awhile, I manage to live. I don't have time or money for many of my interests. Do you really think I'd be here, taking this survey, if my life were fulfilling and meaningful right now? I'm also only being paid $.30 to write this. Quite literally, pennies. Not much of an incentive, if you ask me. And I'm being asked to write a 100 word essay? Try better next time. Pay better next time. Seriously.

This is all I've got for you. Sorry.
This is all I've got for you. Sorry.
This is all I've got for you. Sorry.
This is all I've got for you. Sorry.
This is all I've got for you. Sorry.",,,,,,,,,,,,,6.462,517.876,547.05,38,"I survive. Every once in awhile, I manage to live. I don't have time or money for many of my interests. Do you really think I'd be here, taking this survey, if my life were fulfilling and meaningful right now? I'm also only being paid $.30 to write this. Quite literally, pennies. Not much of an incentive, if you ask me. And I'm being asked to write a 100 word essay? Try better next time. Pay better next time. Seriously.

This is all I've got for you. Sorry.
This is all I've got for you. Sorry.
This is all I've got for you. Sorry.
This is all I've got for you. Sorry.
This is all I've got for you. Sorry.",Male,39,Prefer not to identify,"Some college, no degree",Yes,,Frequently,Rarely,Occasionally,1 - 3 hours,0 hours,1 - 3 hours,Laptop or computer,Other (please specify),Other (please specify),"I make art, actually, but that wasn't provided here",Other (please specify),"I make art, actually, but that wasn't provided here",Don't care,77573
981,picture,PWEW,TRUE,Yes,,,25.205,639.263,662.079,"A lone woman is crossing an empty street downtown on a hazy day.  The street is flanked by somewhat tall buildings that look like they've withstood the test of time.  Maybe they're apartment buildings.  Maybe the woman is going home after working all night.  Or maybe she's on her way to visit elderly parents to make sure they're okay.  The street is silent, but the woman's head is filled with noisy thoughts that dictate every step she takes.  One more thing to do, then she can rest.  Then she can take a break and sit down and have a cup of coffee.  Then she can enjoy life for a moment before she has to go back outside.  ",85.9,4.5,8.6,9,117,4,3.42,25.205,639.263,662.079,23,"A lone woman is crossing an empty street downtown on a hazy day.  The street is flanked by somewhat tall buildings that look like they've withstood the test of time.  Maybe they're apartment buildings.  Maybe the woman is going home after working all night.  Or maybe she's on her way to visit elderly parents to make sure they're okay.  The street is silent, but the woman's head is filled with noisy thoughts that dictate every step she takes.  One more thing to do, then she can rest.  Then she can take a break and sit down and have a cup of coffee.  Then she can enjoy life for a moment before she has to go back outside.  ",,,,,,Female,50,White,"Bachelorâ€™s degree (e.g. BA, BS)",Yes,,Never,Frequently,Rarely,0 hours,7 or more hours,1 - 3 hours,Laptop or computer,Other (please specify),Other (please specify),"Reports, letters, e-mail",Other (please specify),Newsletters,To look at the relationship between people's interests and their activities.,13073
560,picture,PWEW,TRUE,Yes,,,7.846,326.122,385.042,"A young woman stands in the crosswalk of a haunting urban scene. There is a sense of loneliness even thought it is clear that there must be many people hidden away inside the towering buildings nearby. There is a feeling that she may be returning to her apartment and that there will be no one there to greet her.  She may feel that there is no purpose to her life. She may be bogged down with the daily grind of constantly living the same day over and over. 
The scene brings up feelings of loneliness that we all feel. There is that uncanny sense of being all alone in a room fool of people. This is the type of loneliness that is difficult to express. The photographer has brilliantly expressed it here. ",76.3,5.9,9.2,10,133,10,7.52,7.846,326.122,385.042,11,"A young woman stands in the crosswalk of a haunting urban scene. There is a sense of loneliness even thought it is clear that there must be many people hidden away inside the towering buildings nearby. There is a feeling that she may be returning to her apartment and that there will be no one there to greet her.  She may feel that there is no purpose to her life. She may be bogged down with the daily grind of constantly living the same day over and over. 
The scene brings up feelings of loneliness that we all feel. There is that uncanny sense of being all alone in a room fool of people. This is the type of loneliness that is difficult to express. The photographer has brilliantly expressed it here. ",,,,,,Female,37,White,"Associateâ€™s degree (e.g. AA, AS)",Yes,,Occasionally,Rarely,Occasionally,1 - 3 hours,0 hours,1 - 3 hours,Laptop or computer,"Social media posts,Other (please specify)",Other (please specify),Journaling ,Other (please specify),Journaling,If people who say they like to write actually are competant writers. ,32397
